id;tag_cd;tag_desc;creation_date;last_modified_date;actif
1;Branding Jewelery Plastic;Cheese;2020-05-24T14:44:32;2020-05-25T03:48:54;true
2;Diverse;Car;2020-05-24T12:53:17;2020-05-24T23:02:50;false
3;Grocery SSL;Vermont deposit Games;2020-05-25T08:10:33;2020-05-25T08:41:04;false
4;Licensed Plastic Soap;regional open system Rustic Frozen Ball;2020-05-24T14:40:23;2020-05-25T05:15:36;true
5;Haiti bandwidth bluetooth;leading edge Producer;2020-05-24T21:39:57;2020-05-25T02:42:18;true
6;Pizza synergistic Moroccan Dirham;Operations Kenya Group;2020-05-24T14:39:38;2020-05-25T07:06:06;false
7;circuit;Burkina Faso Architect Hawaii;2020-05-24T21:40:23;2020-05-24T17:43:08;true
8;next generation orchestrate;transmitting SAS Mouse;2020-05-25T06:38:41;2020-05-24T17:45:44;false
9;SDD Customer Security;Associate firewall;2020-05-24T19:52:19;2020-05-24T12:07:56;true
10;generate Timor-Leste;violet Track;2020-05-25T04:36:12;2020-05-25T11:45:14;false
